Ne vsebuje 	18000: -0.963 
Ne vsebuje 	18133: -1.008 
Vsebuje 	18134: -0.276 
Ne vsebuje 	18135: -0.247 
Ne vsebuje 	18136: 0.000 
Ne vsebuje 	18137: -0.716 
Ne vsebuje 	18138: -0.028 
Vsebuje 	18139: -0.590 
Ne vsebuje 	18140: -1.629 
Ne vsebuje 	18141: -1.422 
Vsebuje 	18142: -0.450 
Ne vsebuje 	18143: -1.015 
Ne vsebuje 	18144: -0.815 
Ne vsebuje 	18145: -0.662 
Ne vsebuje 	18146: -1.335 
Ne vsebuje 	18147: -0.381 
Ne vsebuje 	18148: -0.979 
Vsebuje 	18149: 1.141 
Vsebuje 	18150: 0.395 
Ne vsebuje 	18151: -0.826 
Vsebuje 	18152: 0.068 
Ne vsebuje 	18153: -1.004 
Vsebuje 	18154: -0.122 
Ne vsebuje 	18155: -0.805 
Ne vsebuje 	18156: -1.700 
Ne vsebuje 	18157: -0.238 
Ne vsebuje 	18158: -1.044 
Ne vsebuje 	18159: -0.726 
Ne vsebuje 	18160: -1.213 
Ne vsebuje 	18161: -1.103 
Ne vsebuje 	18162: -1.153 
Ne vsebuje 	18163: -1.179 
Ne vsebuje 	18164: -0.888 
Ne vsebuje 	18165: -1.497 
Ne vsebuje 	18166: -1.071 
Ne vsebuje 	18167: -1.386 
Ne vsebuje 	18168: -1.322 
Ne vsebuje 	18169: -1.125 
Ne vsebuje 	18170: -1.150 
Ne vsebuje 	18171: -1.041 
Vsebuje 	18172: -0.484 
Vsebuje 	18173: -0.439 
Ne vsebuje 	18174: -0.309 
Ne vsebuje 	18175: -1.301 
Ne vsebuje 	18176: -1.346 
Ne vsebuje 	18177: -1.590 
Ne vsebuje 	18178: -1.471 
Vsebuje 	18179: 0.017 
Ne vsebuje 	18180: -1.362 
Ne vsebuje 	18181: -0.641 
Ne vsebuje 	18182: -0.453 
Ne vsebuje 	18183: -1.422 
Ne vsebuje 	18184: -1.183 
Ne vsebuje 	18185: -1.550 
Ne vsebuje 	18186: -1.090 
Ne vsebuje 	18187: -1.069 
Ne vsebuje 	18188: -0.938 
Ne vsebuje 	18189: -0.671 
Ne vsebuje 	18190: -0.770 
Ne vsebuje 	18191: -1.693 
Ne vsebuje 	18192: -1.311 
Ne vsebuje 	18193: -1.090 
Ne vsebuje 	18194: -0.706 
Ne vsebuje 	18195: -1.312 
Ne vsebuje 	18196: -1.470 
Ne vsebuje 	18197: -1.858 
Ne vsebuje 	18198: -1.224 
Ne vsebuje 	18199: -1.212 
Ne vsebuje 	18200: 0.069 
Ne vsebuje 	18201: -1.158 
Ne vsebuje 	18202: -1.213 
Ne vsebuje 	18203: -1.369 
Vsebuje 	18204: -0.438 
Vsebuje 	18205: -0.539 
Ne vsebuje 	18206: -0.645 
Ne vsebuje 	18207: -1.191 
Ne vsebuje 	18208: -0.875 
Ne vsebuje 	18209: -0.725 
Ne vsebuje 	18210: -0.826 
Ne vsebuje 	18211: -1.218 
Ne vsebuje 	18212: -1.046 
Ne vsebuje 	18213: -0.817 
Ne vsebuje 	18214: -0.679 
Ne vsebuje 	18215: -1.044 
Vsebuje 	18216: -0.855 
Ne vsebuje 	18217: -0.716 
Ne vsebuje 	18218: -0.762 
Ne vsebuje 	18219: -1.288 
Ne vsebuje 	18220: -1.436 
Ne vsebuje 	18221: -1.065 
Ne vsebuje 	18222: -1.455 
Ne vsebuje 	18223: -1.139 
Vsebuje 	18224: -0.360 
Vsebuje 	18225: -0.444 
Ne vsebuje 	18226: -0.998 
Ne vsebuje 	18227: -0.035 
Ne vsebuje 	18228: -0.469 
Ne vsebuje 	18229: -1.301 
Ne vsebuje 	18230: -1.258 
Ne vsebuje 	18231: -1.007 
Ne vsebuje 	18232: -1.207 
Ne vsebuje 	18233: -0.238 
Ne vsebuje 	18234: -1.250 
Ne vsebuje 	18235: -1.067 
Vsebuje 	18236: -0.535 
Ne vsebuje 	18237: -0.749 
Ne vsebuje 	18238: -1.286 
Ne vsebuje 	18239: -1.379 
Vsebuje 	18240: 0.673 
Vsebuje 	18241: -0.995 
Vsebuje 	18242: -0.526 
Ne vsebuje 	18243: -1.124 
Ne vsebuje 	18244: -1.243 
Ne vsebuje 	18245: -1.258 
Ne vsebuje 	18246: -0.996 
Ne vsebuje 	18247: -0.761 
Ne vsebuje 	18248: -1.447 
Ne vsebuje 	18249: -1.258 
Ne vsebuje 	18250: -1.526 
Ne vsebuje 	18251: -1.557 
Ne vsebuje 	18252: -1.649 
Ne vsebuje 	18253: -1.540 
Ne vsebuje 	18254: -0.719 
Ne vsebuje 	18255: -1.339 
Ne vsebuje 	18256: -0.995 
Ne vsebuje 	18257: -1.797 
Ne vsebuje 	18258: -0.945 
Ne vsebuje 	18259: -1.277 
Ne vsebuje 	18260: -1.280 
Ne vsebuje 	18261: -1.357 
Ne vsebuje 	18262: -1.490 
Vsebuje 	18263: 0.624 
Vsebuje 	18264: 0.082 
Vsebuje 	18265: 0.434 
Ne vsebuje 	18266: -0.739 
Ne vsebuje 	18267: -1.128 
Ne vsebuje 	18268: -1.142 
Vsebuje 	18269: 0.161 
Ne vsebuje 	18270: -1.126 
Ne vsebuje 	18271: -1.246 
Ne vsebuje 	18272: -1.033 
Ne vsebuje 	18273: -0.638 
Vsebuje 	18274: -1.032 
Ne vsebuje 	18275: -1.103 
Ne vsebuje 	18276: -0.697 
Ne vsebuje 	18277: -0.598 
Ne vsebuje 	18278: -1.021 
Ne vsebuje 	18279: -0.006 
Ne vsebuje 	18280: -0.227 
Ne vsebuje 	18281: -1.025 
Ne vsebuje 	18282: -0.510 
Ne vsebuje 	18283: -0.785 
Vsebuje 	18284: -0.683 
Ne vsebuje 	18285: -1.402 
Vsebuje 	18286: -0.434 
Ne vsebuje 	18287: -1.304 
Ne vsebuje 	18288: -1.193 
Ne vsebuje 	18289: -0.642 
Ne vsebuje 	18290: -0.940 
Ne vsebuje 	18291: -1.077 
Ne vsebuje 	18292: -0.914 
Ne vsebuje 	18293: -1.179 
Ne vsebuje 	18294: -0.599 
Ne vsebuje 	18295: -1.483 
Ne vsebuje 	18296: 0.460 
Ne vsebuje 	18297: -0.898 
Ne vsebuje 	18298: -1.142 
Ne vsebuje 	18299: -0.886 
Ne vsebuje 	18300: -1.274 
Vsebuje 	18301: 0.335 
Vsebuje 	18302: 0.486 
Ne vsebuje 	18303: -0.914 
Ne vsebuje 	18304: -0.615 
Ne vsebuje 	18305: -0.950 
Ne vsebuje 	18306: -0.756 
Ne vsebuje 	18307: -1.021 
Ne vsebuje 	18308: -1.174 
Ne vsebuje 	18309: -0.985 
Vsebuje 	18310: -0.733 
Vsebuje 	18311: -1.031 
Ne vsebuje 	18312: -0.908 
Vsebuje 	18313: -0.344 
Vsebuje 	18314: -0.147 
Ne vsebuje 	18315: -0.803 
Ne vsebuje 	18316: -0.912 
Vsebuje 	18317: -0.445 
Ne vsebuje 	18318: -1.071 
Ne vsebuje 	18319: -1.219 
Ne vsebuje 	18320: -0.989 
Ne vsebuje 	18321: -1.170 
Ne vsebuje 	18322: -0.528 
Vsebuje 	18323: 0.029 
Ne vsebuje 	18324: -1.309 
Vsebuje 	18325: 0.329 
Ne vsebuje 	18326: -0.928 
Ne vsebuje 	18327: -1.178 
Vsebuje 	18328: -0.366 
Ne vsebuje 	18329: -0.711 
Vsebuje 	18330: -0.533 
Ne vsebuje 	18331: -1.228 
Vsebuje 	18332: -0.465 
Vsebuje 	18333: 0.316 
Vsebuje 	18334: 0.502 
Vsebuje 	18335: 0.347 
Ne vsebuje 	18336: -1.022 
Ne vsebuje 	18337: -1.351 
Ne vsebuje 	18338: -0.910 
Ne vsebuje 	18339: -1.314 
Ne vsebuje 	18340: -0.935 
Ne vsebuje 	18341: -0.755 
Vsebuje 	18342: -0.645 
Ne vsebuje 	18343: -1.052 
Vsebuje 	18344: 0.349 
Ne vsebuje 	18345: -0.991 
Ne vsebuje 	18346: -1.004 
Vsebuje 	18347: -1.229 
Ne vsebuje 	18348: -1.323 
Ne vsebuje 	18349: -0.920 
Vsebuje 	18350: -1.138 
Ne vsebuje 	18351: -1.147 
Ne vsebuje 	18352: -0.661 
Ne vsebuje 	18353: -1.136 
Vsebuje 	18354: 0.216 
Ne vsebuje 	18355: -1.305 
Ne vsebuje 	18356: -1.049 
Ne vsebuje 	18357: -0.650 
Ne vsebuje 	18358: -0.865 
Ne vsebuje 	18359: -1.051 
Ne vsebuje 	18360: -1.186 
Ne vsebuje 	18361: -1.267 
Vsebuje 	18362: 0.151 
Ne vsebuje 	18363: -0.879 
Ne vsebuje 	18364: -1.053 
Ne vsebuje 	18365: -0.788 
Ne vsebuje 	18366: -1.019 
Vsebuje 	18367: -0.466 
Ne vsebuje 	18368: -1.131 
Ne vsebuje 	18369: -0.169 
Ne vsebuje 	18370: -0.992 
Ne vsebuje 	18371: -0.219 
Ne vsebuje 	18372: -0.951 
Ne vsebuje 	18373: -0.707 
Vsebuje 	18374: -0.888 
Ne vsebuje 	18375: -0.109 
Ne vsebuje 	18376: -1.216 
Vsebuje 	18377: 0.358 
Ne vsebuje 	18378: 0.043 
Vsebuje 	18379: 1.931 
Vsebuje 	18380: -0.331 
Ne vsebuje 	18381: -0.902 
Ne vsebuje 	18382: -0.106 
Vsebuje 	18383: 0.949 
Ne vsebuje 	18384: -0.589 
Ne vsebuje 	18385: -0.619 
Ne vsebuje 	18386: -1.210 
Vsebuje 	18387: -0.154 
Vsebuje 	18388: 0.447 
Ne vsebuje 	18389: -1.431 
Ne vsebuje 	18390: -0.399 
Ne vsebuje 	18391: -0.743 
Ne vsebuje 	18392: -1.284 
Vsebuje 	18393: 0.136 
Ne vsebuje 	18394: -0.882 
Ne vsebuje 	18395: -0.733 
Ne vsebuje 	18396: -0.554 
Ne vsebuje 	18397: -0.971 
Ne vsebuje 	18398: -0.757 
Ne vsebuje 	18399: -0.506 
Vsebuje 	18400: 0.402 
Ne vsebuje 	18401: -0.445 
Ne vsebuje 	18402: -0.420 
Ne vsebuje 	18403: -0.612 
Vsebuje 	18404: 0.108 
Ne vsebuje 	18405: -0.185 
Ne vsebuje 	18406: 0.120 
Vsebuje 	18407: -0.218 
Ne vsebuje 	18408: -1.239 
Ne vsebuje 	18409: -0.829 
Ne vsebuje 	18410: -0.743 
Ne vsebuje 	18411: -0.691 
Ne vsebuje 	18412: -0.736 
Ne vsebuje 	18413: -0.764 
Ne vsebuje 	18414: -0.269 
Vsebuje 	18415: 0.006 
Ne vsebuje 	18416: -0.742 
Ne vsebuje 	18417: -0.798 
Ne vsebuje 	18418: -0.493 
Ne vsebuje 	18419: -0.653 
Ne vsebuje 	18420: -1.163 
Ne vsebuje 	18421: -0.433 
Ne vsebuje 	18422: -1.022 
Ne vsebuje 	18423: -0.910 
Ne vsebuje 	18424: -0.519 
Ne vsebuje 	18425: -0.182 
Ne vsebuje 	18426: -0.473 
Ne vsebuje 	18427: -1.029 
Ne vsebuje 	18428: -0.849 
Vsebuje 	18429: -0.886 
Ne vsebuje 	18430: -1.045 
Ne vsebuje 	18431: -0.989 
Ne vsebuje 	18432: -1.245 
Ne vsebuje 	18433: -0.658 
Ne vsebuje 	18434: -1.319 
Vsebuje 	18435: -0.758 
Ne vsebuje 	18436: -0.484 
Ne vsebuje 	18437: -0.431 
Ne vsebuje 	18438: -0.607 
Ne vsebuje 	18439: -0.777 
Vsebuje 	18440: 0.341 
Ne vsebuje 	18441: -1.125 
Ne vsebuje 	18442: -1.307 
Ne vsebuje 	18443: -0.926 
Vsebuje 	18444: 0.332 
Ne vsebuje 	18445: -1.392 
Ne vsebuje 	18446: -1.275 
Vsebuje 	18447: -1.486 
Ne vsebuje 	18448: -1.748 
Ne vsebuje 	18449: -0.493 
Ne vsebuje 	18450: -0.980 
Ne vsebuje 	18451: -1.186 
Ne vsebuje 	18452: -1.284 
Ne vsebuje 	18453: -0.563 
Ne vsebuje 	18454: -0.488 
Vsebuje 	18455: 0.550 
Ne vsebuje 	18456: -1.497 
Ne vsebuje 	18457: -0.525 
Ne vsebuje 	18458: -1.391 
Ne vsebuje 	18459: -1.251 
Ne vsebuje 	18460: -1.173 
Ne vsebuje 	18461: -1.219 
Ne vsebuje 	18462: -1.372 
Ne vsebuje 	18463: -1.176 
Ne vsebuje 	18464: -0.945 
Vsebuje 	18465: -0.755 
Ne vsebuje 	18466: -0.408 
Ne vsebuje 	18467: -0.705 
Ne vsebuje 	18468: -0.803 
Ne vsebuje 	18469: -0.908 
Ne vsebuje 	18470: -1.063 
Ne vsebuje 	18471: -1.337 
Ne vsebuje 	18472: -0.731 
Vsebuje 	18473: -0.322 
Ne vsebuje 	18474: -0.589 
Ne vsebuje 	18475: -0.421 
Ne vsebuje 	18476: -0.639 
Ne vsebuje 	18477: -0.314 
Ne vsebuje 	18478: -0.068 
Ne vsebuje 	18479: -0.776 
Ne vsebuje 	18480: -0.520 
Ne vsebuje 	18481: -0.693 
Ne vsebuje 	18482: -1.132 
Vsebuje 	18483: -0.952 
Ne vsebuje 	18484: -0.463 
Vsebuje 	18485: -0.066 
Ne vsebuje 	18486: -1.109 
Ne vsebuje 	18487: -1.106 
Ne vsebuje 	18488: -1.265 
Ne vsebuje 	18489: -1.161 
Ne vsebuje 	18490: -0.929 
Ne vsebuje 	18491: -1.030 
Ne vsebuje 	18492: -1.177 
Ne vsebuje 	18493: -0.590 
Ne vsebuje 	18494: -1.515 
Vsebuje 	18495: 0.661 
Ne vsebuje 	18496: -1.399 
Ne vsebuje 	18497: -1.327 
Vsebuje 	18498: -0.275 
Ne vsebuje 	18499: -0.730 
Vsebuje 	18500: -0.280 
Ne vsebuje 	18501: -1.274 
Vsebuje 	18502: -0.007 
Ne vsebuje 	18503: -1.055 
Vsebuje 	18504: -0.241 
Ne vsebuje 	18505: -0.398 
Vsebuje 	18506: 0.470 
Vsebuje 	18507: 0.447 
Ne vsebuje 	18508: -1.447 
Ne vsebuje 	18509: -0.984 
Ne vsebuje 	18510: -1.227 
Vsebuje 	18511: 0.400 
Vsebuje 	18512: 0.415 
Vsebuje 	18513: 0.279 
Vsebuje 	18514: 0.489 
Vsebuje 	18515: 0.132 
Ne vsebuje 	18516: -1.546 
Ne vsebuje 	18517: -1.168 
Ne vsebuje 	18518: -0.262 
Ne vsebuje 	18519: -1.335 
Vsebuje 	18520: -1.254 
Ne vsebuje 	18521: -0.711 
Ne vsebuje 	18522: -1.492 
Ne vsebuje 	18523: -1.086 
Ne vsebuje 	18524: -0.564 
Ne vsebuje 	18525: -1.223 
Ne vsebuje 	18526: -0.459 
Ne vsebuje 	18527: -0.949 
Vsebuje 	18528: -0.781 
Ne vsebuje 	18529: -1.441 
Ne vsebuje 	18530: -1.331 
Ne vsebuje 	18531: -1.364 
Ne vsebuje 	18532: -1.086 
Ne vsebuje 	18533: -1.282 
Ne vsebuje 	18534: -1.076 
Vsebuje 	18535: 0.228 
Vsebuje 	18536: -1.030 
Vsebuje 	18537: 1.034 
Vsebuje 	18538: -0.302 
Vsebuje 	18539: -0.369 
Ne vsebuje 	18540: -0.474 
Vsebuje 	18541: -0.999 
Ne vsebuje 	18542: 0.082 
Ne vsebuje 	18543: -0.678 
Ne vsebuje 	18544: -0.811 
Vsebuje 	18545: 0.059 
Vsebuje 	18546: 0.739 
Vsebuje 	18547: 0.122 
Vsebuje 	18548: 0.883 
Vsebuje 	18549: 1.369 
Ne vsebuje 	18550: -1.269 
Ne vsebuje 	18551: -0.653 
Vsebuje 	18552: 0.031 
Ne vsebuje 	18553: -1.252 
Ne vsebuje 	18554: -0.739 
Ne vsebuje 	18555: -0.401 
Ne vsebuje 	18556: -1.219 
Ne vsebuje 	18557: -0.600 
Ne vsebuje 	18558: -0.467 
Ne vsebuje 	18559: -1.292 
Vsebuje 	18560: -0.298 
Ne vsebuje 	18561: -1.096 
Vsebuje 	18562: -0.443 
Ne vsebuje 	18563: -0.844 
Ne vsebuje 	18564: -0.854 
Vsebuje 	18565: -0.858 
Vsebuje 	18566: 0.071 
Vsebuje 	18567: -0.467 
Vsebuje 	18568: -0.280 
Ne vsebuje 	18569: -1.098 
Vsebuje 	18570: -0.565 
Vsebuje 	18571: -0.305 
Ne vsebuje 	18572: -0.755 
Vsebuje 	18573: 0.849 
Vsebuje 	18574: -0.177 
Vsebuje 	18575: -0.877 
Ne vsebuje 	18576: -1.179 
Vsebuje 	18577: -0.426 
Vsebuje 	18578: -0.601 
Vsebuje 	18579: -0.363 
Vsebuje 	18580: -0.000 
Ne vsebuje 	18581: -0.767 
Vsebuje 	18582: 0.443 
Ne vsebuje 	18583: -1.131 
Ne vsebuje 	18584: -0.937 
Ne vsebuje 	18585: -0.732 
Ne vsebuje 	18586: -1.278 
Ne vsebuje 	18587: -1.325 
Ne vsebuje 	18588: -0.922 
Ne vsebuje 	18589: -0.636 
Ne vsebuje 	18590: -0.906 
Ne vsebuje 	18591: -0.721 
Ne vsebuje 	18592: -1.131 
Ne vsebuje 	18593: -1.180 
Ne vsebuje 	18594: -1.269 
Ne vsebuje 	18595: -1.279 
Ne vsebuje 	18596: -0.893 
Ne vsebuje 	18597: -1.098 
Ne vsebuje 	18598: -0.634 
Ne vsebuje 	18599: -0.946 
Ne vsebuje 	18600: -0.434 
Ne vsebuje 	18601: -0.982 
Ne vsebuje 	18602: -1.009 
Ne vsebuje 	18603: -0.606 
Ne vsebuje 	18604: -0.819 
Ne vsebuje 	18605: -1.115 
Ne vsebuje 	18606: -1.750 
Ne vsebuje 	18607: -0.421 
Ne vsebuje 	18608: -1.031 
Ne vsebuje 	18609: -0.832 
Ne vsebuje 	18610: -0.793 
Ne vsebuje 	18611: -1.100 
Ne vsebuje 	18612: -1.053 
Ne vsebuje 	18613: -1.052 
Ne vsebuje 	18614: -1.466 
Vsebuje 	18615: 1.015 
Vsebuje 	18616: 0.377 
Ne vsebuje 	18617: -1.173 
Ne vsebuje 	18618: -1.248 
Vsebuje 	18619: 0.490 
Ne vsebuje 	18620: -0.553 
Vsebuje 	18621: 0.286 
Ne vsebuje 	18622: -0.677 
Ne vsebuje 	18623: 0.815 
Ne vsebuje 	18624: -0.972 
Ne vsebuje 	18625: 0.512 
Ne vsebuje 	18626: -1.095 
Ne vsebuje 	18627: -0.569 
Ne vsebuje 	18628: -0.814 
Ne vsebuje 	18629: 0.182 
Ne vsebuje 	18630: -0.969 
Ne vsebuje 	18631: -0.921 
Ne vsebuje 	18632: -0.704 
Vsebuje 	18633: -0.719 
Ne vsebuje 	18634: -0.940 
Ne vsebuje 	18635: -0.985 
Vsebuje 	18636: -0.430 
Ne vsebuje 	18637: -1.073 
Ne vsebuje 	18638: -1.315 
Ne vsebuje 	18639: -1.338 
Ne vsebuje 	18640: -1.234 
Ne vsebuje 	18641: -0.539 
Ne vsebuje 	18642: -0.529 
Ne vsebuje 	18643: -0.352 
Ne vsebuje 	18644: -0.810 
Vsebuje 	18645: -0.385 
Ne vsebuje 	18646: -0.188 
Ne vsebuje 	18647: -1.133 
Ne vsebuje 	18648: -0.981 
Ne vsebuje 	18649: -0.947 
Ne vsebuje 	18650: -0.997 
Ne vsebuje 	18651: -1.279 
Ne vsebuje 	18652: -1.174 
Ne vsebuje 	18653: -1.104 
Ne vsebuje 	18654: -1.022 
Ne vsebuje 	18655: -1.271 
Ne vsebuje 	18656: -0.948 
Ne vsebuje 	18657: -1.416 
Ne vsebuje 	18658: -0.765 
Ne vsebuje 	18659: -1.106 
Ne vsebuje 	18660: -0.843 
Vsebuje 	18661: -0.282 
Ne vsebuje 	18662: -1.050 
Ne vsebuje 	18663: -1.137 
Ne vsebuje 	18664: -1.174 
Ne vsebuje 	18665: -1.212 
Vsebuje 	18666: -1.011 
Ne vsebuje 	18667: -0.533 
Vsebuje 	18668: 0.254 
Vsebuje 	18669: -0.618 
Vsebuje 	18670: -0.775 
Ne vsebuje 	18671: -1.302 
Vsebuje 	18672: -0.508 
Ne vsebuje 	18673: -0.886 
Ne vsebuje 	18674: -1.087 
Ne vsebuje 	18675: -0.876 
Vsebuje 	18676: -0.458 
Ne vsebuje 	18677: -0.631 
Vsebuje 	18678: 0.185 
Ne vsebuje 	18679: -1.108 
Ne vsebuje 	18680: -0.408 
Ne vsebuje 	18681: -0.836 
Ne vsebuje 	18682: -0.503 
Vsebuje 	18683: 0.519 
Ne vsebuje 	18684: -1.052 
Ne vsebuje 	18685: -1.094 
Ne vsebuje 	18686: -0.850 
Vsebuje 	18687: 0.653 
Ne vsebuje 	18688: -0.860 
Vsebuje 	18689: -0.585 
Ne vsebuje 	18690: -1.551 
Ne vsebuje 	18691: -1.340 
Ne vsebuje 	18692: -0.928 
Ne vsebuje 	18693: -1.118 
Ne vsebuje 	18694: -1.321 
Ne vsebuje 	18695: -1.242 
Ne vsebuje 	18696: -1.359 
Ne vsebuje 	18697: -1.264 
Vsebuje 	18698: -0.369 
Ne vsebuje 	18699: -1.184 
Ne vsebuje 	18700: -0.776 
Ne vsebuje 	18701: -1.061 
Ne vsebuje 	18702: -0.801 
Vsebuje 	18703: -0.372 
Vsebuje 	18704: 0.470 
Ne vsebuje 	18705: -0.003 
Ne vsebuje 	18706: -1.009 
Ne vsebuje 	18707: -0.854 
Ne vsebuje 	18708: -0.351 
Vsebuje 	18709: -0.324 
Ne vsebuje 	18710: -0.399 
Ne vsebuje 	18711: -1.179 
Ne vsebuje 	18712: -0.588 
Vsebuje 	18713: -0.406 
Ne vsebuje 	18714: -0.628 
Ne vsebuje 	18715: -1.579 
Ne vsebuje 	18716: -0.318 
Ne vsebuje 	18717: -0.577 
Ne vsebuje 	18718: -1.299 
Vsebuje 	18719: -0.526 
Vsebuje 	18720: -0.372 
Ne vsebuje 	18721: -1.040 
Ne vsebuje 	18722: -1.055 
Ne vsebuje 	18723: -1.472 
Vsebuje 	18724: 0.850 
Ne vsebuje 	18725: -0.818 
Ne vsebuje 	18726: -1.156 
Ne vsebuje 	18727: -1.070 
Ne vsebuje 	18728: -0.979 
Ne vsebuje 	18729: -1.296 
Ne vsebuje 	18730: -1.299 
Ne vsebuje 	18731: -1.208 
Ne vsebuje 	18732: -0.740 
Vsebuje 	18733: -0.224 
Vsebuje 	18734: 0.145 
Ne vsebuje 	18735: -1.442 
Ne vsebuje 	18736: -0.557 
Vsebuje 	18737: -0.396 
Ne vsebuje 	18738: -1.000 
Ne vsebuje 	18739: -1.466 
Ne vsebuje 	18740: -0.963 
Ne vsebuje 	18741: -1.356 
Ne vsebuje 	18742: -1.410 
Ne vsebuje 	18743: -1.673 
Ne vsebuje 	18744: -1.346 
Ne vsebuje 	18745: -1.187 
Ne vsebuje 	18746: -0.535 
Ne vsebuje 	18747: -0.908 
Ne vsebuje 	18748: -1.473 
Ne vsebuje 	18749: -0.911 
Ne vsebuje 	18750: -0.294 
Ne vsebuje 	18751: -0.229 
Ne vsebuje 	18752: -0.451 
Vsebuje 	18753: -0.485 
